"treatment_status","control","micro_credit","in_kind_grant","cash_grant","hasbiz","new_biz_assets","monthly_expanses","monthly_revenue","monthly_profits","labour_inc","total_inc","is_male","educ_college","educ_somecollege","educ_hs","age","marital_s","marital_m","worked","has_biz","family_inc_low","migrate","trained","has_kids"
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,31,0,1,1,0,0,0,0,1
0,1,0,0,0,1,50070.4136638237,100,300,150,150,200,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,60,0,0,0,0,1,0,1,1
0,1,0,0,0,1,42467.7467296812,400,900,500,1200,500,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,55,0,0,0,0,0,0,1,1
0,1,0,0,0,1,48915.0950797529,100,300,200,200,250,0,0,0,0,53,0,1,0,0,1,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,52,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,52,0,0,0,0,1,0,0,0
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,52,0,0,1,0,1,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,51,0,0,1,1,1,0,0,1
0,1,0,0,0,1,40267.7467296812,200,0,0,0,50,0,0,0,0,51,0,1,0,0,1,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,51,0,1,0,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,50,0,1,0,0,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,50,0,1,0,0,1,0,1,0
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,50,0,0,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,50,0,1,0,0,0,0,0,0
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,50,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,50,0,1,0,0,1,0,1,1
1,0,1,0,0,1,110192.99565672,4000,10000,6000,6000,6050,0,0,0,0,49,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,49,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,49,0,0,0,0,1,0,1,0
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,31,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,49,0,0,0,0,1,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,21,0,0,0,0,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,48,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,48,0,1,0,0,1,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,48,0,0,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,48,0,0,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,47,0,0,1,1,0,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,47,0,0,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,47,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,46,0,1,0,0,1,0,1,1
0,1,0,0,0,1,53920.6008696955,600,0,0,1000,225,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
1,0,1,0,0,1,53139.8461527143,500,750,250,850,300,0,0,0,0,45,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,45,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,45,0,1,0,0,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,45,0,0,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,45,0,1,0,0,1,0,1,1
2,0,0,1,0,1,53920.6008696955,500,1500,1000,1000,1000,0,0,0,0,44,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,44,0,1,0,0,1,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,44,0,0,0,0,0,0,1,0
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,44,0,1,0,0,1,0,0,0
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,44,0,0,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,44,0,1,0,0,1,0,0,0
0,1,0,0,0,1,53139.8461527143,1000,1500,500,2000,550,0,0,0,0,44,0,1,0,0,1,0,0,0
2,0,0,1,0,1,55420.6008696954,3000,5000,2000,2000,2050,0,0,0,0,43,0,1,0,0,1,0,1,0
1,0,1,0,0,1,31094.2110153955,300,500,0,0,430,0,0,0,0,43,0,0,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,43,0,1,0,0,1,1,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,43,0,0,0,0,1,0,0,1
2,0,0,1,0,1,49845.4497241429,500,800,300,300,350,0,0,0,0,43,0,1,0,0,0,0,1,1
1,0,1,0,0,1,47051.4533681626,12000,17000,1500,1500,1550,1,0,0,1,43,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,43,0,1,0,0,0,0,1,1
1,0,1,0,0,1,53920.6008696955,1300,1500,200,200,200,0,0,0,0,43,0,0,0,0,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,43,0,0,1,0,0,0,1,0
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,43,0,1,1,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,1,0,42,0,0,0,0,0,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,42,0,1,0,0,1,1,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,42,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,42,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,42,0,1,0,0,1,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,42,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,42,0,0,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,42,0,1,0,0,0,1,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,41,0,0,1,0,0,0,1,0
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,41,0,1,0,0,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,41,0,1,0,0,1,0,1,1
2,0,0,1,0,1,42541.4342030288,4000,5000,1000,1000,1000,0,0,0,0,41,0,1,0,0,0,0,1,1
1,0,1,0,0,1,43467.7467296812,800,0,0,1500,0,0,0,0,0,41,0,1,0,0,0,0,1,0
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,41,0,1,0,0,1,0,1,1
1,0,1,0,0,1,53920.6008696955,1000,2500,1500,1500,1500,1,0,0,0,41,0,1,0,0,1,0,1,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,41,0,1,0,0,1,0,1,1
1,0,1,0,0,1,48870.4136638237,1200,2000,0,0,0,0,0,0,0,41,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,41,0,1,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,41,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,40,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,40,0,1,0,0,0,0,0,1
1,0,1,0,0,1,41267.7467296812,500,600,100,100,300,0,0,0,0,40,0,1,0,0,1,0,1,0
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,40,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,40,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,40,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,40,0,1,0,0,1,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,40,0,1,0,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,40,0,1,1,1,1,0,1,1
3,0,0,0,1,1,53920.6008696955,60,100,40,40,90,0,0,0,0,40,0,1,0,0,1,0,1,1
0,1,0,0,0,1,53139.8461527143,500,800,300,300,620,0,0,0,0,40,0,0,1,1,0,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,40,0,1,0,0,1,0,0,0
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,40,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,39,0,1,0,0,1,0,0,1
1,0,1,0,0,1,54139.8461527143,3000,5000,2000,2000,2000,0,0,0,1,39,0,1,0,0,1,1,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,39,0,1,0,0,1,1,1,0
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,39,0,1,0,0,1,1,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,1,30,0,1,1,0,0,1,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,39,0,1,0,0,1,0,0,1
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,39,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,30,0,1,0,0,1,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,39,0,0,0,0,0,0,1,1
1,0,1,0,0,1,50865.0950797529,1200,700,300,300,300,0,0,0,0,39,0,1,1,0,0,0,1,0
2,0,0,1,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,39,0,1,0,0,1,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,39,0,1,0,0,1,0,0,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,39,0,1,0,0,0,0,0,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,39,0,0,1,1,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,1,0,0,0,38,0,1,1,0,0,0,1,1
0,1,0,0,0,1,57365.095079753,800,1500,0,0,25,0,0,0,0,38,0,1,0,0,1,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,38,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,38,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,38,0,1,0,0,0,0,0,1
3,0,0,0,1,1,53920.6008696955,570,870,300,300,920,0,0,0,1,38,0,1,0,0,1,0,1,1
3,0,0,0,1,1,53920.6008696955,1000,1200,200,1100,200,0,0,0,0,38,0,1,0,0,1,0,1,1
3,0,0,0,1,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,38,0,1,0,0,0,0,1,1
0,1,0,0,0,1,53920.6008696955,800,800,0,0,0,1,0,0,1,38,0,1,0,0,0,0,0,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,38,0,1,0,0,0,0,1,1
0,1,0,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,0,38,0,1,0,0,1,0,0,1
0,1,0,0,0,1,32941.4342030288,700,1400,700,700,900,0,0,0,1,38,0,1,1,0,0,0,0,1
1,0,1,0,0,1,54467.7467296812,7000,7700,700,700,775,0,0,0,1,38,0,1,0,0,0,0,1,1
1,0,1,0,0,0,54673.2514349575,0,0,0,NA,NA,0,0,0,1,38,0,1,0,0,1,0,1,1
