"treatment_status","control","micro_credit","in_kind_grant","cash_grant","hasbiz","is_male","worked","has_biz","family_inc_low","trained","new_biz_assets","monthly_expanses","monthly_revenue","monthly_profits","labour_inc","total_inc","age","migrate","educ_college","educ_somecollege","educ_hs","marital_s","marital_m"
3,0,0,1,0,1,1,1,0,0,1,60984.1320528781,400.873273611069,1472.35437622294,1071.48110261187,154.842610878966,1226.32371349084,38.2896669299674,0,2,0,0,0,1
1,1,0,0,0,1,0,0,0,1,0,66580.0424505602,690.518938237801,616.063118446618,-74.4558197911829,234.901592046869,160.445772255686,29.9374710299891,0,1,1,0,0,1
3,0,0,1,0,1,0,1,0,0,1,46919.0720586351,468.871797900647,1343.03259383887,874.160795938224,167.615013219093,1041.77580915732,33.1215228967003,0,0,0,1,0,1
1,1,0,0,0,1,1,1,1,0,0,56070.6570669671,530.601378995925,851.25731350854,320.655934512615,172.245404603818,492.901339116433,33.0779081125282,0,1,1,0,0,1
1,1,0,0,0,1,0,1,0,0,0,50220.2326118564,243.275799322873,1750.75890636072,1507.48310703784,201.680813076127,1709.16392011397,44.8833190728649,1,0,0,1,1,0
2,0,1,0,0,1,1,0,0,0,0,32176.6247049033,456.559126032516,1779.68345675617,1323.12433072366,289.79493105005,1612.91926177371,14.8966620976267,1,1,1,0,1,0
4,0,0,0,1,0,1,0,1,0,0,51925.7302158207,789.524929132313,978.568893391639,189.043964259326,198.959661511872,388.003625771198,63.4216868643339,0,0,0,1,1,0
1,1,0,0,0,1,0,0,1,0,0,48245.0096355207,191.406827187166,1403.35290087387,1211.9460736867,178.383604283284,1390.32967796999,52.836784862121,0,1,1,0,1,0
4,0,0,0,1,0,1,1,1,0,1,61410.9221210028,422.71520360373,1766.08403911814,1343.36883551441,172.901688920041,1516.27052443445,42.4271322948318,0,2,0,0,1,0
3,0,0,1,0,0,0,1,0,1,0,51208.225406754,255.498906597495,853.978069964796,598.479163367301,216.861473515065,815.340636882366,32.9129115237161,0,1,1,0,1,0
